scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Aberdeen,1999-12-22,2024-02-15,45611,Idox,Scraper Gen1, ,0,publicaccess.aberdeencity.gov.uk/, ,45464.0,27-Oct,43765.0,40306.0,96.26%,88.65%,,- final check,3-Nov,43765.0,40306.0,96.26%,88.65%,-,0.0,0.0,0.00%,0.00%,
Aberdeenshire,2001-05-25,2024-02-15,73306,Idox,Scraper Gen1*, ,1,upa.aberdeenshire.gov.uk/, ,73132.0,,73045.0,61551.0,99.88%,84.16%,,-,,73045.0,61551.0,99.88%,84.16%,,0.0,0.0,0.00%,0.00%,
AdurWorthing,1999-12-29,2024-02-16,44894,Idox,Scraper Gen2 (NEC 2), ,2,, ,44703.0,,44640.0,30940.0,99.86%,69.21%,,-,,44640.0,30940.0,99.86%,69.21%,,0.0,0.0,0.00%,0.00%,
Alderney,2021-07-29,2024-01-12,358,Custom,, ,3,, ,346.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Allerdale,1999-12-20,2024-02-16,32569,Custom,, ,4,, ,32461.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
AmberValley,1999-04-20,2024-02-13,33072,Custom,, ,5,, ,32975.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Anglesey,1999-02-16,2024-02-13,26249,Custom,, ,6,, ,26167.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Angus,2000-01-05,2024-02-13,28545,Idox,Scraper Gen1, ,7,, ,28491.0,,28404,28198,99.69%,98.97%,1,-,,28404,28198,99.69%,98.97%,,0.0,0.0,0.00%,0.00%,
AntrimNewtownabbey,1999-04-20,2024-02-09,28564,NIPortal,, ,8,, ,28501.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
ArdsNorthDown,1999-08-31,2024-02-12,34212,NIPortal,, ,9,, ,34114.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
